OID_,id,status,lon,lat,z,requestDate,installDate,roofAccess,notes,name,neighborhood,boroughCode,borough,neighborhoodCode
48,134,Interested,-73.991046299999994,40.736432200000003,35,1439478443758.000000000000000,,false,,,Chelsea,1,Manhattan,107
49,135,Installed,-73.943009000000004,40.825018000000000,30,1439478683601.000000000000000,1463284800000.000000000000000,true,,Edgecombe,Harlem,1,Manhattan,71
50,140,Interested,-73.952123099999994,40.808872500000000,16,1439482569554.000000000000000,,true,,,Harlem,1,Manhattan,71
51,152,Interested,-73.951834000000005,40.687589000000003,61,1439490170858.000000000000000,,true,,,Bedford-Stuyvesant,3,Brooklyn,169
52,157,Installed,-73.931209999999993,40.697747999999997,30,1439499733605.000000000000000,1461902400000.000000000000000,true,rem,,Bushwick,4,Brooklyn,157
53,183,Installed,-73.976679599999997,40.724871499999999,27,1443548196514.000000000000000,1462680000000.000000000000000,true,rem,,East Village,1,Manhattan,127
54,191,Installed,-73.987898000000001,40.724868000000001,32,1443746370781.000000000000000,1459051200000.000000000000000,false,Lee-Ann,,East Village,1,Manhattan,127
55,194,Installed,-73.992992200000003,40.735012400000002,17,1444059238906.000000000000000,1458446400000.000000000000000,false,rem,,Greenwich Village,1,Manhattan,122
56,201,Installed,-73.986574399999995,40.727904000000002,26,1444151201476.000000000000000,1458964800000.000000000000000,true,,,East Village,1,Manhattan,127
57,218,Installed,-73.925591200000000,40.701135299999997,25,1446000664320.000000000000000,1460433600000.000000000000000,true,lbe DIY,,Bushwick,4,Brooklyn,157
58,227,Installed,-74.001271880000004,40.711104300000002,180,1446989439601.000000000000000,1479445200000.000000000000000,true,"Supernode 1, Sector facing North",Supernode 1,Two Bridges,1,Manhattan,146
59,229,Installed,-73.946695599999998,40.716856000000000,16,1446747498384.000000000000000,1466568000000.000000000000000,true,,,Williamsburg,4,Brooklyn,145
60,232,Installed,-73.987898000000001,40.724868000000001,32,1449088437065.000000000000000,1455858000000.000000000000000,false,,,East Village,1,Manhattan,127
61,248,Installed,-73.998085000000003,40.712136999999998,23,1452702345679.000000000000000,1533268800000.000000000000000,false,Omni,,Civic Center,1,Manhattan,140
62,303,Installed,-73.925104000000005,40.698523999999999,,1454985296937.000000000000000,1542344400000.000000000000000,true,Omni,Dekalb,Bushwick,4,Brooklyn,157
63,305,Installed,-73.978218999999996,40.747186900000003,32,1455238349206.000000000000000,1463371200000.000000000000000,false,rem,,Murray Hill,1,Manhattan,106
64,315,Installed,-73.989165999999997,40.729512999999997,31,1457297880036.000000000000000,1524715200000.000000000000000,false,rem,,East Village,1,Manhattan,127
65,323,Installed,-73.909663199999997,40.704628900000003,38,1458609753724.000000000000000,1512104400000.000000000000000,true,,,Ridgewood,4,Queens,149
66,324,Installed,-73.987898000000001,40.724868000000001,32,1458873187096.000000000000000,1458878400000.000000000000000,false,Danny,,East Village,1,Manhattan,127
67,328,Installed,-73.987881000000002,40.724868000000001,27,1459889567673.000000000000000,1463284800000.000000000000000,false,Oliver,,East Village,1,Manhattan,127
68,329,Installed,-73.941977069999993,40.717482720000000,26,1459986259793.000000000000000,1490673600000.000000000000000,true,hub Omni + sector (vpn),Simona,Williamsburg,4,Brooklyn,145
69,330,Installed,-73.987968899999998,40.724626000000001,20,1460529313117.000000000000000,1464753600000.000000000000000,false,,,East Village,1,Manhattan,127
70,342,Interested,-73.945362700000004,40.783272500000002,39,1464308977243.000000000000000,,false,,,Upper East Side,1,Manhattan,90
71,352,Installed,-73.987898000000001,40.724868000000001,32,1468547636405.000000000000000,1468555200000.000000000000000,false,Rob,,East Village,1,Manhattan,127
72,368,Installed,-73.967035999999993,40.634763000000000,29,1469464656949.000000000000000,1490328000000.000000000000000,false,hub Omni sector,Vlado,Flatbush,3,Brooklyn,199
73,407,Installed,-73.990365699999998,40.713259299999997,40,1473785770087.000000000000000,1510981200000.000000000000000,true,hub Sector Omni,Henry,Lower East Side,1,Manhattan,137
74,465,Installed,-73.987971999999999,40.713662999999997,25,1484153176594.000000000000000,1504152000000.000000000000000,true,Omni,,Lower East Side,1,Manhattan,137
75,468,Installed,-73.986759000000006,40.728456000000001,25,1484416428378.000000000000000,1496721600000.000000000000000,true,,,East Village,1,Manhattan,127
76,497,Installed,-73.985507799999993,40.728241300000001,28,1489530251104.000000000000000,1522209600000.000000000000000,true,,,East Village,1,Manhattan,127
77,507,Installed,-73.986421000000007,40.718848999999999,34,1490679120209.000000000000000,1619064000000.000000000000000,false,Gigabeam to Rivington,Clemente,Lower East Side,1,Manhattan,137
78,518,Installed,-73.999212000000000,40.713959000000003,26,1491713182348.000000000000000,1623470400000.000000000000000,true,Omni only,,Chinatown,1,Manhattan,138
79,519,Installed,-73.976000999999997,40.687356999999999,27,1491780110708.000000000000000,1524110400000.000000000000000,true,Kiosk,,Fort Greene,3,Brooklyn,163
80,529,Installed,-73.922893000000002,40.704448999999997,23,1492715499611.000000000000000,1497758400000.000000000000000,true,,,Bushwick,4,Brooklyn,157
81,534,Installed,-73.991532199999995,40.713715700000002,27,1492822744648.000000000000000,1494129600000.000000000000000,true,,,Chinatown,1,Manhattan,138
82,556,Installed,-73.977156500000007,40.723514799999997,18,1495586157779.000000000000000,1496203200000.000000000000000,true,,,East Village,1,Manhattan,127
83,560,Installed,-73.991532199999995,40.713715700000002,28,1496033486937.000000000000000,1495944000000.000000000000000,false,,,Chinatown,1,Manhattan,138
84,561,Installed,-73.996049099999993,40.713095500000001,31,1496184548559.000000000000000,1497326400000.000000000000000,true,,,Chinatown,1,Manhattan,138
85,565,Installed,-73.979898000000006,40.725551000000003,26,1496878745196.000000000000000,1497758400000.000000000000000,true,,,East Village,1,Manhattan,127
86,606,Installed,-73.988465000000005,40.724750999999998,28,1502203518528.000000000000000,1503460800000.000000000000000,false,,,East Village,1,Manhattan,127
87,623,Installed,-73.982549300000002,40.657986299999997,66,1504240552576.000000000000000,1505880000000.000000000000000,true,rem,,Windsor Terrace,3,Brooklyn,191
88,624,Installed,-73.921143000000001,40.695028000000001,20,1504309786864.000000000000000,1554955200000.000000000000000,true,Omni,,Bushwick,4,Brooklyn,157
89,627,Installed,-73.937333999999993,40.697263000000000,43,1504723680522.000000000000000,1540526400000.000000000000000,true,Omni,Bushwick City Farm,Bedford-Stuyvesant,3,Brooklyn,169
90,634,Interested,-73.947293399999992,40.806226899999999,22,1505845351893.000000000000000,,true,,,Harlem,1,Manhattan,71
91,656,Interested,-73.950677400000004,40.728270199999997,16,1508951209144.000000000000000,,true,,,Greenpoint,3,Brooklyn,123
92,659,Installed,-73.989820899999998,40.715817399999999,26,1509136889584.000000000000000,1512277200000.000000000000000,true,hub Omni,Essex,Chinatown,1,Manhattan,138
93,661,Interested,-73.972710999999990,40.736866399999997,116,1509896965852.000000000000000,,false,,,Kips Bay,1,Manhattan,111
94,662,Installed,-73.991532199999995,40.713715700000002,28,1510263364555.000000000000000,1536552000000.000000000000000,true,,,Chinatown,1,Manhattan,138
95,664,Installed,-73.915192129999994,40.705693170000004,34,1510584584691.000000000000000,1527393600000.000000000000000,true,hub sectors,Cypress,Ridgewood,4,Queens,149
96,667,Installed,-73.929176999999996,40.692200000000000,30,1511305441594.000000000000000,1524024000000.000000000000000,true,,,Bedford-Stuyvesant,3,Brooklyn,169
97,669,Installed,-73.947487699999996,40.687659300000000,23,1511312437078.000000000000000,1535428800000.000000000000000,true,,,Bedford-Stuyvesant,3,Brooklyn,169
98,672,Installed,-73.904268999999999,40.702475999999997,33,1511373978483.000000000000000,1556856000000.000000000000000,true,Omni,,Ridgewood,4,Queens,149
99,686,Installed,-73.991317400000000,40.713452799999999,26,1511670915175.000000000000000,1512277200000.000000000000000,true,Omni,,Chinatown,1,Manhattan,138
100,690,Installed,-73.980387499999992,40.724886800000000,17,1511804450189.000000000000000,1595995200000.000000000000000,false,lbe only,,East Village,1,Manhattan,127
101,692,Installed,-73.980064499999997,40.668166900000003,39,1511890515949.000000000000000,1647662400000.000000000000000,true,,,Park Slope,3,Brooklyn,179
102,699,Installed,-73.990348099999991,40.727572599999988,29,1512137053571.000000000000000,1514437200000.000000000000000,true,,,East Village,1,Manhattan,127
103,713,Installed,-74.004904299999993,40.657867299999999,57,1512605871958.000000000000000,1540008000000.000000000000000,true,Supernode 3,Supernode 3,Sunset Park,3,Brooklyn,193
104,729,Installed,-73.980395999999999,40.729267000000000,22,1512937944405.000000000000000,1515387600000.000000000000000,true,,,East Village,1,Manhattan,127
105,731,Installed,-73.980730400000013,40.724676300000013,33,1512972311086.000000000000000,1536292800000.000000000000000,true,hub Omni+sector,7th St,East Village,1,Manhattan,127
