OID_,from_,to,status,installDate,X1,Y1,Z1,X2,Y2,Z2,position,COUNT
76,3037,3531,active,1564545600000.000000000000000,-73.995095000000006,40.713777000000000,28.000000000000000,-73.995697499999991,40.712634299999998,28.000000000000000,START,1
77,3411,227,active,1564632000000.000000000000000,-73.979557999999997,40.713425000000001,65.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
78,3736,1350,active,1564632000000.000000000000000,-73.947483000000005,40.687550999999999,27.000000000000000,-73.947451580000006,40.687509620000000,31.000000000000000,START,3
79,3737,1350,active,1564632000000.000000000000000,-73.947515999999993,40.687545000000000,27.000000000000000,-73.947451580000006,40.687509620000000,31.000000000000000,START,1
80,3738,1350,active,1564632000000.000000000000000,-73.947507000000002,40.687505000000002,27.000000000000000,-73.947451580000006,40.687509620000000,31.000000000000000,START,2
81,3739,1350,active,1564632000000.000000000000000,-73.947495000000004,40.687472000000000,27.000000000000000,-73.947451580000006,40.687509620000000,31.000000000000000,START,1
82,669,1350,active,1564632000000.000000000000000,-73.947487699999996,40.687659300000000,23.000000000000000,-73.947451580000006,40.687509620000000,31.000000000000000,START,1
83,3721,2090,active,1564718400000.000000000000000,-73.954699099999999,40.726629500000001,18.000000000000000,-73.954098000000002,40.725627000000003,17.000000000000000,START,1
84,3396,1340,active,1564804800000.000000000000000,-73.904669999999996,40.704770000000003,35.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
85,3744,664,active,1565496000000.000000000000000,-73.916755199999997,40.705288600000003,25.000000000000000,-73.915192129999994,40.705693170000004,34.000000000000000,START,1
86,3864,659,active,1566014400000.000000000000000,-73.990065000000001,40.715319999999998,28.000000000000000,-73.989820899999998,40.715817399999999,26.000000000000000,START,1
87,3864,2603,active,1566014400000.000000000000000,-73.990065000000001,40.715319999999998,28.000000000000000,-73.990417800000003,40.714280000000002,26.000000000000000,START,3
88,4107,3864,active,1566014400000.000000000000000,-73.990065000000001,40.715319999999998,28.000000000000000,-73.990065000000001,40.715319999999998,28.000000000000000,START,1
89,4108,3864,active,1566014400000.000000000000000,-73.990065000000001,40.715319999999998,28.000000000000000,-73.990065000000001,40.715319999999998,28.000000000000000,START,2
90,1384,407,active,1566273600000.000000000000000,-73.978904200000002,40.713894900000000,53.000000000000000,-73.990365699999998,40.713259299999997,40.000000000000000,START,1
91,3782,713,active,1566619200000.000000000000000,-74.007720000000006,40.647979999999997,49.000000000000000,-74.004904299999993,40.657867299999999,57.000000000000000,START,1
92,3575,1350,active,1566705600000.000000000000000,-73.945752299999995,40.687336700000003,28.000000000000000,-73.947451580000006,40.687509620000000,31.000000000000000,START,1
93,3430,1340,active,1567051200000.000000000000000,-73.921759999999992,40.683751999999998,23.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
94,3461,713,active,1567569600000.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,-74.004904299999993,40.657867299999999,57.000000000000000,START,1
95,4018,1340,active,1567828800000.000000000000000,-73.921113499999990,40.684176500000000,25.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
96,3792,1440,active,1567828800000.000000000000000,-73.995791900000000,40.712076000000003,29.000000000000000,-73.995513899999992,40.712028900000000,24.000000000000000,START,1
97,1440,3531,active,1567828800000.000000000000000,-73.995513899999992,40.712028900000000,24.000000000000000,-73.995697499999991,40.712634299999998,28.000000000000000,START,1
98,3863,659,active,1567915200000.000000000000000,-73.989468799999997,40.713868200000000,57.000000000000000,-73.989820899999998,40.715817399999999,26.000000000000000,START,1
99,3729,1340,active,1568001600000.000000000000000,-73.911801400000016,40.680000000000000,38.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
100,8054,3461,active,1568174400000.000000000000000,-73.942388499999993,40.685129199999999,29.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
101,4192,3461,active,1568520000000.000000000000000,-73.954236199999997,40.676227300000001,41.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,2
102,4276,2463,active,1568606400000.000000000000000,-73.988213999999999,40.721459400000001,31.000000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,1
103,4062,3461,active,1568779200000.000000000000000,-73.957764999999995,40.670158000000001,61.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
104,4214,1340,active,1569038400000.000000000000000,-73.913505099999995,40.686505199999999,30.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
105,944,3461,active,1569038400000.000000000000000,-73.954802000000001,40.680269000000003,39.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
106,4232,1340,active,1569124800000.000000000000000,-73.914360000000002,40.698743000000000,26.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
107,3662,1340,active,1569211200000.000000000000000,-73.927942000000002,40.685696999999998,25.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
108,3662,2874,active,1569211200000.000000000000000,-73.927942000000002,40.685696999999998,25.000000000000000,-73.928278199999994,40.685950499999997,25.000000000000000,START,1
109,3662,2959,active,1569211200000.000000000000000,-73.927942000000002,40.685696999999998,25.000000000000000,-73.928760400000002,40.685903199999998,24.000000000000000,START,1
110,3662,3077,active,1569211200000.000000000000000,-73.927942000000002,40.685696999999998,25.000000000000000,-73.928484799999993,40.685612900000002,24.000000000000000,START,1
111,4255,1340,active,1569211200000.000000000000000,-73.911022399999993,40.682367999999997,33.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
112,218,1340,active,1569556800000.000000000000000,-73.925591200000000,40.701135299999997,25.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,2
113,4337,2463,active,1569729600000.000000000000000,-73.983117699999994,40.723362100000003,28.000000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,1
114,3675,1340,active,1570334400000.000000000000000,-73.913684599999996,40.699582599999999,32.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,3
115,3923,1340,active,1570680000000.000000000000000,-73.933835100000010,40.680830600000000,30.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
116,12961,1340,active,1570766400000.000000000000000,-73.919131899999996,40.688060999999998,37.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
117,4433,4558,active,1570852800000.000000000000000,-73.926877000000005,40.685769999999998,24.000000000000000,-73.926946299999997,40.685760799999997,25.000000000000000,START,1
118,4433,2959,active,1570852800000.000000000000000,-73.926877000000005,40.685769999999998,24.000000000000000,-73.928760400000002,40.685903199999998,24.000000000000000,START,3
119,4433,2874,active,1570852800000.000000000000000,-73.926877000000005,40.685769999999998,24.000000000000000,-73.928278199999994,40.685950499999997,25.000000000000000,START,1
120,4433,3662,active,1570852800000.000000000000000,-73.926877000000005,40.685769999999998,24.000000000000000,-73.927942000000002,40.685696999999998,25.000000000000000,START,3
121,3461,4402,active,1570939200000.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,START,1
122,4534,3606,active,1571371200000.000000000000000,-73.924537999999998,40.707819999999998,20.000000000000000,-73.921884399999996,40.708457199999998,28.000000000000000,START,2
123,4459,3461,active,1571457600000.000000000000000,-73.958950500000000,40.655984800000013,33.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
124,4459,4507,active,1571457600000.000000000000000,-73.958950500000000,40.655984800000013,33.000000000000000,-73.959160999999995,40.655510999999997,35.000000000000000,START,1
125,4459,4402,active,1571457600000.000000000000000,-73.958950500000000,40.655984800000013,33.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,START,1
126,4459,3108,active,1571457600000.000000000000000,-73.958950500000000,40.655984800000013,33.000000000000000,-73.958074999999994,40.655636999999999,26.000000000000000,START,1
127,4459,4530,active,1571457600000.000000000000000,-73.958950500000000,40.655984800000013,33.000000000000000,-73.955153500000009,40.655781999999988,40.000000000000000,START,2
128,4459,3572,active,1571457600000.000000000000000,-73.958950500000000,40.655984800000013,33.000000000000000,-73.957522999999995,40.656047000000001,27.000000000000000,START,1
129,4459,4393,active,1571457600000.000000000000000,-73.958950500000000,40.655984800000013,33.000000000000000,-73.957872899999998,40.656008800000002,29.000000000000000,START,1
130,4459,4506,active,1571457600000.000000000000000,-73.958950500000000,40.655984800000013,33.000000000000000,-73.958254999999994,40.656001000000003,32.000000000000000,START,1
131,4530,3461,active,1571457600000.000000000000000,-73.955153500000009,40.655781999999988,40.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
132,4507,3461,active,1571457600000.000000000000000,-73.959160999999995,40.655510999999997,35.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
133,4507,4402,active,1571457600000.000000000000000,-73.959160999999995,40.655510999999997,35.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,START,2
134,4507,4393,active,1571457600000.000000000000000,-73.959160999999995,40.655510999999997,35.000000000000000,-73.957872899999998,40.656008800000002,29.000000000000000,START,1
135,4507,3572,active,1571457600000.000000000000000,-73.959160999999995,40.655510999999997,35.000000000000000,-73.957522999999995,40.656047000000001,27.000000000000000,START,2
