source,target,status,installDate,fromXYZ,toXYZ,X1,Y1,Z1,X2,Y2,Z2,ORIG_FID,Shape_Length,bearingDegrees,lengthMetersGeodesic,link_ID
6791,227,active,1597982400000,"-73.9922083,40.7188981,34","-74.00127188,40.7111043,180",-73.9922083,40.7188981,34,-74.00127188,40.7111043,180,305,0.01195373586,229.3076626,1155.674705,298
6610,227,active,1600747200000,"-73.9507922,40.7055231,30","-74.00127188,40.7111043,180",-73.9507922,40.7055231,30,-74.00127188,40.7111043,180,323,0.05078728117,276.3091854,4310.574724,315
6414,227,active,1605934800000,"-73.9963741,40.720973099999988,32","-74.00127188,40.7111043,180",-73.9963741,40.7209731,32,-74.00127188,40.7111043,180,363,0.01101732556,206.3947136,1171.448571,355
2350,227,active,1610514000000,"-73.9968507,40.7124954,18","-74.00127188,40.7111043,180",-73.9968507,40.7124954,18,-74.00127188,40.7111043,180,412,0.004634866967,252.5341042,404.2710693,404
7869,227,active,1611205200000,"-73.9993293,40.7155119,25","-74.00127188,40.7111043,180",-73.9993293,40.7155119,25,-74.00127188,40.7111043,180,422,0.004816695425,203.7847277,516.2477002,414
7941,227,active,1611982800000,"-73.996159200000008,40.7120123,24","-74.00127188,40.7111043,180",-73.9961592,40.7120123,24,-74.00127188,40.7111043,180,440,0.005192683389,259.9294062,443.6367638,432
8079,227,active,1612587600000,"-73.9984563,40.7160447,29","-74.00127188,40.7111043,180",-73.9984563,40.7160447,29,-74.00127188,40.7111043,180,444,0.005686391026,209.6792185,597.9880295,436
1932,227,active,1612587600000,"-73.986,40.7161,92","-74.00127188,40.7111043,180",-73.986,40.7161,92,-74.00127188,40.7111043,180,447,0.01606820891,251.8861709,1404.642244,439
8150,227,active,1615006800000,"-73.9977175,40.7163195,28","-74.00127188,40.7111043,180",-73.9977175,40.7163195,28,-74.00127188,40.7111043,180,473,0.006311254093,214.2760895,652.3847427,465
7977,227,active,1615611600000,"-73.996392,40.7130096,27","-74.00127188,40.7111043,180",-73.996392,40.7130096,27,-74.00127188,40.7111043,180,481,0.005238644567,248.6723413,463.4649449,473
5671,227,active,1615611600000,"-73.9986888,40.712526,26","-74.00127188,40.7111043,180",-73.9986888,40.712526,26,-74.00127188,40.7111043,180,484,0.002948479808,241.1720772,269.3841769,476
