,id,x,y,z,point_radius,status,requestDate,installDate,roofAccess,notes,panoramas,class,boroughCode,neighborhoodCode,borough,neighborhood,Date_Year
34,1085,-73.913547,40.699679,29.0,2.9,Installed,1514405397907,1546059600000,-1,hub Omni,"[""1085.jpg"",""1085a.jpg""]",hub,4,221,Brooklyn,Bushwick,2017
35,1146,-73.955055,40.679572,37.0,3.7,Installed,1514742515947,1616299200000,-1,Omni,"[""""1146.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2017
36,1158,-73.979443,40.72402,20.0,2.0,Installed,1514995975639,1515992400000,-1,Omni,"[""1158.jpg"",""1158a.jpg""]",,1,24,Manhattan,East Village,2018
37,1159,-73.947817,40.682521,30.0,3.0,Installed,1514929915604,1648353600000,-1,Omni,[],,3,122,Brooklyn,Bedford-Stuyvesant,2018
38,1167,-73.946151,40.727545,18.0,1.8,Installed,1515005198047,1515992400000,-1,hub Omni,"[""""1167.jpg""""]",hub,3,113,Brooklyn,Greenpoint,2018
39,1275,-73.994532,40.711488,36.0,3.6,Installed,1516219895150,1517374800000,0,"kiosk, The Lot Radio","[""""1275.jpg""""]",,1,33,Manhattan,Two Bridges,2018
40,1340,-73.9174933,40.6860156,64.0,6.4,Installed,1516770520860,1526616000000,-1,hub,"[""""1340.jpg""""]",hub,3,122,Brooklyn,Bedford-Stuyvesant,2018
41,1350,-73.94745158,40.68750962,31.0,3.1,Installed,1516905439650,1535428800000,-1,hub Omni,"[""""1350.jpg""""]",hub,3,122,Brooklyn,Bedford-Stuyvesant,2018
42,1384,-73.9789042,40.7138949,53.0,5.3,Installed,1517413703138,1519794000000,0,hub Omni,"[""1384.jpg"",""1384a.jpg""]",hub,1,29,Manhattan,Lower East Side,2018
43,1386,-73.984538,40.7259315,21.0,2.1,Installed,1517440381786,1522900800000,-1,SXT,[],,1,24,Manhattan,East Village,2018
44,1397,-73.9792572,40.7255765,24.0,2.4,Installed,1517582348215,1564372800000,-1,SXT,"[""""1397.jpg""""]",,1,24,Manhattan,East Village,2018
45,1417,-73.9354884,40.7136172,14.0,1.4,Installed,1518040495957,1520913600000,-1,hub sectors,"[""1417.jpg"",""1417a.jpg""]",hub,4,216,Brooklyn,Williamsburg,2018
46,1430,-73.987055,40.721199,28.0,2.8,Installed,1518359374844,1541566800000,0,Omni,"[""""1430.jpg""""]",,1,29,Manhattan,Lower East Side,2018
47,1440,-73.9955139,40.7120289,24.0,2.4,Installed,1518529592281,1518584400000,-1,Hub Omni,[],,1,33,Manhattan,Two Bridges,2018
48,1447,-73.9972814,40.659747,36.0,3.6,Installed,1518711780410,1597550400000,-1,Omni,"[""""1447.jpg""""]",,3,137,Brooklyn,Sunset Park,2018
49,1474,-73.9799956,40.6775292,25.0,2.5,Installed,1519334183108,1524024000000,-1,SXT solo,"[""1474.jpg"",""1474a.jpg"",""1474b.jpg""]",,3,129,Brooklyn,Park Slope,2018
50,1491,-73.923297,40.706311,24.0,2.4,Installed,1519759325407,1524196800000,-1,Kiosk,"[""1491.jpg"",""1491a.jpg"",""1491b.jpg"",""1491c.jpg"",""1491d.jpg""]",,4,221,Brooklyn,Bushwick,2018
51,1547,-73.9024659,40.7041039,39.0,3.9,Installed,1521407543749,1592798400000,-1,Omni,[],,4,218,Queens,Ridgewood,2018
52,1597,-73.990326,40.72759,33.0,3.3,Installed,1522676214471,1522900800000,-1,460-12D,[],,1,24,Manhattan,East Village,2018
53,1598,-73.9050673,40.696279,26.0,2.6,Installed,1522682074988,1616817600000,-1,Omni,"[""""1598.jpg""""]",,4,218,Queens,Ridgewood,2018
54,1606,-73.9464296,40.717801,15.0,1.5,Installed,1522888897797,1542690000000,-1,Omni,"[""1606.jpg"",""1606a.jpg""]",,4,216,Brooklyn,Williamsburg,2018
55,1619,-73.9012889,40.6958075,31.0,3.1,Installed,1523280542262,1611378000000,-1,Omni,[],,4,218,Queens,Ridgewood,2018
56,1635,-73.982382,40.667564,51.0,5.1,Installed,1524085449402,1600401600000,-1,hub omni + sectors,"[""1635.jpg"",""1635a.jpg""]",hub,3,129,Brooklyn,Park Slope,2018
57,1673,-73.945592,40.7185052,19.0,1.9,Installed,1524786093031,1597464000000,-1,SXT solo,"[""""1673.jpg""""]",,4,216,Brooklyn,Williamsburg,2018
58,1779,-73.954769,40.693812,25.0,2.5,Installed,1525981537120,1533528000000,-1,NN used for 11036,"[""""1779.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2018
59,1796,-73.935666,40.69707,38.0,3.8,Installed,1526392655601,1527566400000,-1,NN used for 11036,"[""""1796.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2018
60,1848,-73.996938,40.713099,25.0,2.5,Installed,1527163326835,1532923200000,-1,Hub Omni,"[""""1848.jpg""""]",,1,30,Manhattan,Chinatown,2018
61,1893,-73.922085,40.684013,23.0,2.3,Installed,1527907043233,1529208000000,-1,kiosk,"[""""1893.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2018
62,1896,-73.953659,40.819354,54.0,5.4,Installed,1527954856539,1539230400000,-1,Omni-sxt kiosk,"[""1896.jpg"",""1896a.jpg"",""1896b.jpg""]",,1,4,Manhattan,Harlem,2018
63,1916,-73.9176574,40.6573208,28.0,2.8,Installed,1528277744764,1544072400000,0,Omni-sxt kiosk,"[""1916.jpg"",""1916a.jpg""]",,3,138,Brooklyn,East Flatbush,2018
64,1932,-73.986,40.7161,92.0,9.2,Installed,1528863783154,1592884800000,-1,hub,"[""1932.jpg"",""1932a.jpg"",""1932b.jpg""]",hub,1,29,Manhattan,Lower East Side,2018
65,1933,-73.9844262,40.7155733,93.0,9.3,Installed,1528863820601,1577163600000,-1,hub,[],hub,1,29,Manhattan,Lower East Side,2018
66,1934,-73.9844644,40.7160869,84.0,8.4,Installed,1528863842236,1585713600000,-1,Supernode,[],supernode,1,29,Manhattan,Lower East Side,2018
67,1944,-73.9553612,40.6942566,30.0,3.0,Installed,1529080340150,1593316800000,-1,Omni,"[""1944.jpg"",""1944a.jpg"",""1944b.jpg""]",,3,122,Brooklyn,Bedford-Stuyvesant,2018
68,1946,-73.924993,40.698238,13.0,1.3,Installed,1529086891119,1542344400000,0,Omni,[],,4,221,Brooklyn,Bushwick,2018
69,1971,-73.994822,40.712773,55.0,5.5,Installed,1529781705204,1536206400000,-1,hub Omni,"[""""1971.jpg""""]",hub,1,33,Manhattan,Two Bridges,2018
70,2012,-73.9394379,40.6887175,31.0,3.1,Installed,1531143690501,1532750400000,-1,Omni,[],,3,122,Brooklyn,Bedford-Stuyvesant,2018
71,2074,-73.9793327,40.7131531,76.0,7.6,Installed,1532581471296,1533096000000,-1,Kiosk,[],,1,29,Manhattan,Lower East Side,2018
72,2090,-73.954098,40.725627,17.0,1.7,Installed,1533050753764,1537848000000,-1,hub Omni+sectors,"[""2090.jpg"",""2090a.jpg""]",hub,3,113,Brooklyn,Greenpoint,2018
73,2101,-73.9034451,40.703735,36.0,3.6,Installed,1533328792766,1541394000000,-1,Omni,"[""2101.jpg"",""2101a.jpg"",""2101b.jpg""]",,4,218,Queens,Ridgewood,2018
74,2203,-73.9412289,40.6829648,28.0,2.8,Installed,1535460209298,1577595600000,-1,Omni,"[""""2203.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2018
75,2223,-73.94935278,40.7280694,17.0,1.7,Installed,1535492166753,1535860800000,-1,Omni,"[""""2223.jpg""""]",,3,113,Brooklyn,Greenpoint,2018
76,2274,-73.983418,40.72575,34.0,3.4,Installed,1535632167086,1546923600000,-1,hub Omni + sectors,"[""2274.jpg"",""2274a.jpg"",""2274b.jpg"",""2274c.jpg""]",hub,1,24,Manhattan,East Village,2018
77,2282,-73.993806,40.6829933,34.0,3.4,Installed,1535650763611,1592107200000,0,Hub,"[""2282.jpg"",""2282a.jpg""]",,3,125,Brooklyn,Carroll Gardens,2018
78,2337,-73.9707946,40.6814693,-1.0,-0.1,Installed,1536189387090,1585627200000,0,Omni-only,"[""""2337.jpg""""]",,3,126,Brooklyn,Prospect Heights,2018
79,2344,-73.9135927,40.6889089,21.0,2.1,Installed,1536258702357,1595822400000,-1,potential hub,[],hub,4,221,Brooklyn,Bushwick,2018
80,2350,-73.9968507,40.7124954,18.0,1.8,Installed,1536287318513,1536552000000,-1,Hub Omni,"[""""2350.jpg""""]",,1,33,Manhattan,Two Bridges,2018
81,2441,-73.9904178,40.7165586,48.0,4.8,Installed,1538225601970,1553832000000,0,Omni,"[""2441.jpg"",""2441a.jpg""]",,1,30,Manhattan,Chinatown,2018
82,2462,-74.001461,40.655126,17.0,1.7,Installed,1538826302450,1561089600000,0,Omni,"[""2462.jpg"",""2462a.jpg""]",,3,137,Brooklyn,Sunset Park,2018
83,2463,-73.988093,40.719778,72.0,7.2,Installed,1538846914330,1539144000000,-1,Hub,"[""2463.jpg"",""2463a.jpg"",""2463b.jpg"",""2463c.jpg""]",,1,29,Manhattan,Lower East Side,2018
84,2481,-73.9991749,40.657797,18.0,1.8,Installed,1539188033114,1587787200000,-1,Omni,"[""2481.jpg"",""2481a.jpg""]",,3,137,Brooklyn,Sunset Park,2018
85,2482,-73.924329,40.699602,24.0,2.4,Installed,1539189491945,1633838400000,-1,Omni,[],,4,221,Brooklyn,Bushwick,2018
86,2573,-73.928511,40.68557,24.0,2.4,Installed,1540939883149,1558152000000,-1,Omni,[],,3,122,Brooklyn,Bedford-Stuyvesant,2018
87,2590,-73.985881,40.720793,20.0,2.0,Installed,1541012112081,1543640400000,-1,Omni,[],,1,29,Manhattan,Lower East Side,2018
88,2603,-73.9904178,40.71428,26.0,2.6,Installed,1541177533620,1562990400000,-1,Omni-only,"[""2603.jpg"",""2603a.jpg""]",,1,30,Manhattan,Chinatown,2018
89,2644,-73.9892241,40.6616778,46.0,4.6,Installed,1542301671250,1597723200000,0,sxt solo to 6571,[],,3,137,Brooklyn,Sunset Park,2018
90,2646,-73.9464411,40.6835132,26.0,2.6,Installed,1542405482721,1553918400000,-1,Omni only,"[""2646.jpg"",""2646a.jpg"",""2646b.jpg"",""2646c.jpg"",""2646d.jpg""]",,3,122,Brooklyn,Bedford-Stuyvesant,2018
91,2647,-73.9215023,40.702885,27.0,2.7,Installed,1542409182647,1547442000000,-1,Omni only,"[""2647.jpg"",""2647a.jpg"",""2647b.jpg""]",,4,221,Brooklyn,Bushwick,2018
92,2663,-73.997066,40.716808,28.0,2.8,Installed,1542666920565,1542949200000,-1,Omni only,[],,1,30,Manhattan,Chinatown,2018
93,2699,-73.952312,40.725467,12.0,1.2,Installed,1543946181368,1545886800000,-1,Omni only,"[""2699.jpg"",""2699a.jpg""]",,3,113,Brooklyn,Greenpoint,2018
94,2701,-74.000736,40.647753,58.0,5.8,Installed,1543957978125,1612414800000,-1,hub Omni+sector,"[""""2701.jpg""""]",hub,3,137,Brooklyn,Sunset Park,2018
95,2716,-73.9410996,40.680738,31.0,3.1,Installed,1544131704592,1620273600000,-1,Omni only,"[""2716.jpg"",""2716a.jpg""]",,3,122,Brooklyn,Bedford-Stuyvesant,2018
96,2723,-73.951896,40.673268,42.0,4.2,Installed,1544327478973,1549774800000,-1,Omni only,"[""2723.jpg"",""2723a.jpg""]",,3,130,Brooklyn,Crown Heights,2018
97,2741,-73.9584768,40.7189136,23.0,2.3,Installed,1544767173996,1582088400000,-1,Omni,"[""2741.jpg"",""2741a.jpg""]",,4,216,Brooklyn,Williamsburg,2018
98,2743,-73.9110628,40.7032819,34.0,3.4,Installed,1544807389214,1553400000000,-1,Omni,"[""2743.jpg"",""2743a.jpg""]",,4,218,Queens,Ridgewood,2018
99,2749,-74.003608,40.713162,73.0,7.3,Installed,1544994078273,1549602000000,0,Omni,"[""2749.jpg"",""2749a.jpg""]",,1,31,Manhattan,Civic Center,2018
100,2792,-73.995241,40.7119979,28.0,2.8,Installed,1546478232501,1596168000000,-1,Omni,"[""""2792.jpg""""]",,1,33,Manhattan,Two Bridges,2019
101,2827,-73.95169,40.691957,24.0,2.4,Installed,1547159083420,1573016400000,-1,Omni+sxt,"[""2827.jpg"",""2827a.jpg""]",,3,122,Brooklyn,Bedford-Stuyvesant,2019
102,2857,-73.9309074,40.6768108,28.0,2.8,Installed,1547690937741,1551330000000,-1,kiosk,[],,3,130,Brooklyn,Crown Heights,2019
103,2874,-73.9282782,40.6859505,25.0,2.5,Installed,1548113170841,1550811600000,-1,hub Omni,"[""2874.jpg"",""2874a.jpg""]",hub,3,122,Brooklyn,Bedford-Stuyvesant,2019
104,2882,-73.9112531,40.681513,31.0,3.1,Installed,1548368341668,1552708800000,-1,lbe only,"[""2882.jpg"",""2882a.jpg""]",,3,122,Brooklyn,Bedford-Stuyvesant,2019
105,2889,-73.9837146,40.6646844,53.0,5.3,Installed,1548596517420,1593662400000,-1,Omni,"[""2889.jpg"",""2889a.jpg""]",,3,131,Brooklyn,South Slope,2019
106,2900,-73.980655,40.72267,21.0,2.1,Installed,1548886725453,1548824400000,-1,Omni,[],,1,24,Manhattan,East Village,2019
107,2915,-73.9981808,40.7165463,25.0,2.5,Installed,1549568567217,1561780800000,-1,lbe only,"[""2915.jpg"",""2915a.jpg""]",,1,30,Manhattan,Chinatown,2019
108,2932,-73.9138912,40.6975071,24.0,2.4,Installed,1549991337727,1550638800000,-1,Omni,"[""2932.jpg"",""2932a.jpg"",""2932b.jpg""]",,4,221,Brooklyn,Bushwick,2019
109,2934,-73.940489,40.714038,22.0,2.2,Installed,1550001358731,1554436800000,-1,Omni,"[""""2934.jpg""""]",,4,216,Brooklyn,Williamsburg,2019
110,2949,-73.928708,40.685932,24.0,2.4,Installed,1550380950997,1554609600000,0,Omni,[],,3,122,Brooklyn,Bedford-Stuyvesant,2019
111,2959,-73.9287604,40.6859032,24.0,2.4,Installed,1550590897303,1554609600000,-1,hub Omni,"[""2959.jpg"",""2959a.jpg""]",hub,3,122,Brooklyn,Bedford-Stuyvesant,2019
112,2961,-73.911497,40.694653,27.0,2.7,Installed,1550593863650,1551502800000,-1,hub Omni,"[""""2961.jpg""""]",hub,4,221,Brooklyn,Bushwick,2019
113,2983,-73.9895454,40.7239267,29.0,2.9,Installed,1551075631845,1553745600000,-1,Omni,"[""""2983.jpg""""]",,1,24,Manhattan,East Village,2019
114,2998,-73.916699,40.68467,20.0,2.0,Installed,1551634472143,1552363200000,-1,Omni,"[""""2998.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2019
115,3002,-73.929018,40.685556,24.0,2.4,Installed,1551649758906,1557547200000,-1,Omni-only,[],,3,122,Brooklyn,Bedford-Stuyvesant,2019
116,3004,-73.9921089,40.7133356,33.0,3.3,Installed,1551726918614,1552622400000,-1,Omni,"[""3004.jpg"",""3004a.jpg""]",,1,30,Manhattan,Chinatown,2019
117,3016,-73.981071,40.727889,27.0,2.7,Installed,1551981914224,1553918400000,-1,Omni,[],,1,24,Manhattan,East Village,2019
118,3035,-73.9498393,40.6849817,26.0,2.6,Installed,1552706987034,1556510400000,-1,Omni,"[""""3035.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2019
119,3037,-73.995095,40.713777,28.0,2.8,Installed,1552746939848,1553659200000,-1,Omni,"[""3037.jpg"",""3037a.jpg""]",,1,30,Manhattan,Chinatown,2019
120,3072,-73.9884895,40.7252828,29.0,2.9,Installed,1553875013752,1553918400000,-1,lbe only,[],,1,24,Manhattan,East Village,2019
121,3075,-73.928766,40.68593,25.0,2.5,Installed,1553979271280,1554609600000,-1,lbe only,[],,3,122,Brooklyn,Bedford-Stuyvesant,2019
122,3077,-73.9284848,40.6856129,24.0,2.4,Installed,1553998523870,1558152000000,-1,Omni-only,[],,3,122,Brooklyn,Bedford-Stuyvesant,2019
123,3085,-73.9297478,40.6962227,27.0,2.7,Installed,1554154671198,1557201600000,-1,Omni,"[""""3085.jpg""""]",,4,221,Brooklyn,Bushwick,2019
124,3102,-73.9140175,40.6915092,24.0,2.4,Installed,1554560275048,1554955200000,-1,Omni,[],,4,221,Brooklyn,Bushwick,2019
125,3108,-73.958075,40.655637,26.0,2.6,Installed,1554666471660,1571457600000,-1,Omni-only,[],,3,134,Brooklyn,Prospect-Lefferts Gardens,2019
126,3110,-73.914674,40.705605,32.0,3.2,Installed,1554737116900,1563854400000,-1,lbe only,"[""3110.jpg"",""3110a.jpeg""]",,4,218,Queens,Ridgewood,2019
127,3127,-73.9946275,40.7245532,31.0,3.1,Installed,1554943279095,1560657600000,-1,Lbe to SN1 ev,"[""""3127.jpg""""]",,1,26,Manhattan,Nolita,2019
128,3175,-73.984823,40.7200617,26.0,2.6,Installed,1556222548823,1556596800000,-1,Omni,[],,1,29,Manhattan,Lower East Side,2019
129,3176,-73.928365,40.685975,25.0,2.5,Installed,1556231056760,1557547200000,-1,Omni,"[""""3176.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2019
130,3213,-73.930324,40.697266,31.0,3.1,Installed,1557008677070,1557288000000,-1,Omni,"[""3213.jpg"",""3213a.jpg""]",,4,221,Brooklyn,Bushwick,2019
131,3219,-73.9903625,40.7159773,29.0,2.9,Installed,1557168840055,1557288000000,-1,Omni,"[""3219.jpg"",""3219a.jpg""]",,1,30,Manhattan,Chinatown,2019
132,3220,-73.929008,40.685529,25.0,2.5,Installed,1557178595087,1557547200000,-1,Omni,[],,3,122,Brooklyn,Bedford-Stuyvesant,2019
133,3233,-73.9174508,40.6992697,23.0,2.3,Installed,1557589306671,1559966400000,-1,Omni,"[""3233.jpg"",""3233a.jpg"",""3233b.jpg"",""3233c.jpg""]",,4,221,Brooklyn,Bushwick,2019
134,3234,-73.93811,40.713953,19.0,1.9,Installed,1557594286483,1558065600000,-1,Omni,[],,4,216,Brooklyn,Williamsburg,2019
135,3282,-73.9057271,40.6872368,25.0,2.5,Installed,1558635423138,1559448000000,-1,Omni,"[""""3282.jpg""""]",,4,221,Brooklyn,Bushwick,2019
136,3284,-74.0019949,40.650379,43.0,4.3,Installed,1558672283613,1560571200000,-1,Omni,"[""3284.jpg"",""3284a.jpg""]",,3,137,Brooklyn,Sunset Park,2019
137,3300,-73.9954983,40.6609636,33.0,3.3,Installed,1559143401383,1560571200000,-1,Omni,"[""3300.jpg"",""3300a.jpg""]",,3,137,Brooklyn,Sunset Park,2019
138,3301,-73.9527667,40.6728883,45.0,4.5,Installed,1559145621791,1561176000000,-1,Omni,"[""3301.jpg"",""3301a.jpg""]",,3,130,Brooklyn,Crown Heights,2019
139,3305,-73.9495982,40.6868889,24.0,2.4,Installed,1559232973567,1563508800000,-1,Omni-sxt,"[""3305.jpg"",""3305a.jpg""]",,3,122,Brooklyn,Bedford-Stuyvesant,2019
140,3312,-74.001201,40.661089,-1.0,-0.1,Installed,1559316035411,1561435200000,-1,Potential Hub,[],,3,137,Brooklyn,Sunset Park,2019
141,3326,-73.938485,40.6758029,38.0,3.8,Installed,1559657548435,1560052800000,-1,Omni,"[""""3326.jpg""""]",,3,130,Brooklyn,Crown Heights,2019
142,3353,-73.9547899,40.7269126,19.0,1.9,Installed,1560262428383,1564286400000,-1,Omni only,"[""3353.jpg"",""3353a.jpg""]",,3,113,Brooklyn,Greenpoint,2019
143,3354,-74.0014213,40.660917,16.0,1.6,Installed,1560269795660,1561435200000,-1,Omni,[],,3,137,Brooklyn,Sunset Park,2019
144,3377,-73.9795062,40.7253373,24.0,2.4,Installed,1560874774810,1561608000000,-1,Potential Hub,[],,1,24,Manhattan,East Village,2019
145,3396,-73.90467,40.70477,35.0,3.5,Installed,1561056916886,1564804800000,0,Omni,"[""3396.jpg"",""3396a.jpg""]",,4,218,Queens,Ridgewood,2019
146,3410,-73.98948,40.72866,27.0,2.7,Installed,1561380558825,1562558400000,-1,Omni,"[""3410.jpg"",""3410a.jpg""]",,1,24,Manhattan,East Village,2019
147,3411,-73.979558,40.713425,65.0,6.5,Installed,1561390334386,1564632000000,0,Omni,"[""""3411.jpg""""]",,1,29,Manhattan,Lower East Side,2019
148,3424,-73.9609748,40.675765,60.0,6.0,Installed,1561566814365,1574226000000,-1,Omni,"[""""3424.jpg""""]",,3,130,Brooklyn,Crown Heights,2019
149,3430,-73.92176,40.683752,23.0,2.3,Installed,1561572974318,1567051200000,-1,Omni,"[""""3430.jpg""""]",,3,122,Brooklyn,Bedford-Stuyvesant,2019
150,3461,-73.96444,40.672699,99.0,9.9,Installed,1561662928955,1567569600000,-1,hub omni+sector,"[""3461.jpg"",""3461a.jpg"",""3461b.jpg"",""3461c.jpg""]",hub,3,126,Brooklyn,Prospect Heights,2019
151,3480,-73.9109786,40.6800055,36.0,3.6,Installed,1561819863555,1562990400000,-1,Omni,"[""3480.jpg"",""3480a.jpg""]",,3,122,Brooklyn,Bedford-Stuyvesant,2019
152,3531,-73.9956975,40.7126343,28.0,2.8,Installed,1562003313508,1564545600000,-1,Hub Omni,"[""""3531.jpg""""]",,1,33,Manhattan,Two Bridges,2019
